runname=input_Earth1.6_cmf0.05 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid] 
ir_comp_layer=[0,9267] 
ir_phase_layer=[0,914,4228] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3504217144418177e-05, 0.7520431961981274, 212401581231.49298, 217233404583.54584, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.752579005160238e-06, 0.6024742873203428, 564306625972.1136, 570449915902.4921, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 5.347798558293684e-06, 0.7997042474303777, 1074018368626.9144, 1088191890205.4612, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 3.818607950623138e-06, 1.3084146286619651, 1482398616322.5234, 1527328601301.2651, 7.4366550894550985, 2070246.6287796963, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
58,7584046.456460,3552.025931,9.464844e+24,10.982542,1.371436e+09,2019.880629,1.940324e-05,0.969228,nan,1.385764e+11,1.335050e+11 
59,7583447.716116,3552.624523,9.463307e+24,10.982493,1.394795e+09,2020.210488,1.939343e-05,0.968885,nan,1.386695e+11,1.335982e+11 
60,7582848.975772,3553.222911,9.461769e+24,10.982443,1.418157e+09,2020.540117,1.938363e-05,0.968543,nan,1.387627e+11,1.336914e+11 
61,7582250.235428,3553.821097,9.460232e+24,10.982393,1.441524e+09,2020.869515,1.937385e-05,0.968201,nan,1.388559e+11,1.337845e+11 
62,7581651.495084,3554.419080,9.458695e+24,10.982343,1.464894e+09,2021.198684,1.936407e-05,0.967859,nan,1.389491e+11,1.338777e+11 
63,7581052.754740,3555.016860,9.457158e+24,10.982292,1.488269e+09,2021.527624,1.935431e-05,0.967517,nan,1.390422e+11,1.339708e+11 
64,7580454.014396,3555.614438,9.455620e+24,10.982242,1.511647e+09,2021.856334,1.934455e-05,0.967175,nan,1.391354e+11,1.340640e+11 
65,7579855.274052,3556.211814,9.454083e+24,10.982191,1.535029e+09,2022.184816,1.933480e-05,0.966834,nan,1.392285e+11,1.341572e+11 
66,7579256.533708,3556.808989,9.452546e+24,10.982140,1.558414e+09,2022.513069,1.932506e-05,0.966493,nan,1.393217e+11,1.342503e+11 
67,7578657.793364,3557.405962,9.451008e+24,10.982089,1.581804e+09,2022.841093,1.931534e-05,0.966153,nan,1.394148e+11,1.343434e+11 
68,7578059.053020,3558.002733,9.449471e+24,10.982038,1.605197e+09,2023.168890,1.930562e-05,0.965812,nan,1.395080e+11,1.344366e+11 
