runname=input_Earth 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid,solid] 
ir_comp_layer=[0,5678] 
ir_phase_layer=[0,1238,5295,10270] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3347850228117743e-05, 0.7459369579289227, 215373834693.77478, 219528819215.5574, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.639267439902973e-06, 0.5977350803215429, 573403318632.4905, 578673568035.1329, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 8.114115062319741e-06, 0.9714644807972537, 767621201686.7317, 781843694922.8562, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 5.071781924046409e-06, 1.3906064461387704, 1185539027717.2808, 1231726587225.441, 1, 1, 0, 840.0],[207090000000.0, 5.64, 1.6, 0.92, 4e-05, 3, 7399.7484, 7.186760549386661e-06, 0.9451304579076872, 2206278268426.024, 2290378904830.522, 10.760757003919487, 3495833.023854817, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
101,6262431.146498,3563.000741,5.883206e+24,10.011970,1.792387e+09,1747.347039,1.922449e-05,0.962970,nan,1.395917e+11,1.352177e+11 
102,6261935.073677,3563.452373,5.882335e+24,10.012073,1.810084e+09,1747.560295,1.921718e-05,0.962713,nan,1.396624e+11,1.352884e+11 
103,6261439.000856,3563.903895,5.881464e+24,10.012177,1.827784e+09,1747.773442,1.920988e-05,0.962457,nan,1.397331e+11,1.353591e+11 
104,6260942.928035,3564.355308,5.880593e+24,10.012281,1.845486e+09,1747.986479,1.920258e-05,0.962201,nan,1.398038e+11,1.354298e+11 
105,6260446.855214,3564.806612,5.879722e+24,10.012384,1.863191e+09,1748.199408,1.919529e-05,0.961945,nan,1.398744e+11,1.355004e+11 
106,6259950.782393,3565.257807,5.878851e+24,10.012488,1.880898e+09,1748.412227,1.918800e-05,0.961690,nan,1.399451e+11,1.355711e+11 
107,6259454.709572,3565.708893,5.877980e+24,10.012591,1.898608e+09,1748.624937,1.918072e-05,0.961434,nan,1.400157e+11,1.356418e+11 
108,6258958.636751,3566.159870,5.877109e+24,10.012695,1.916320e+09,1748.837539,1.917345e-05,0.961179,nan,1.400864e+11,1.357125e+11 
109,6258462.563930,3566.610738,5.876238e+24,10.012798,1.934034e+09,1749.050031,1.916617e-05,0.960924,nan,1.401571e+11,1.357831e+11 
110,6257966.491109,3567.061498,5.875367e+24,10.012902,1.951751e+09,1749.262415,1.915891e-05,0.960669,nan,1.402277e+11,1.358538e+11 
111,6257470.418288,3567.512149,5.874496e+24,10.013005,1.969470e+09,1749.474691,1.915165e-05,0.960414,nan,1.402984e+11,1.359245e+11 
112,6256974.345467,3567.962692,5.873626e+24,10.013108,1.987192e+09,1749.686858,1.914440e-05,0.960159,nan,1.403690e+11,1.359951e+11 
113,6256478.272646,3568.413126,5.872755e+24,10.013212,2.004916e+09,1749.898917,1.913715e-05,0.959905,nan,1.404397e+11,1.360658e+11 
114,6255982.199825,3568.863452,5.871884e+24,10.013315,2.022643e+09,1750.110867,1.912990e-05,0.959651,nan,1.405103e+11,1.361365e+11 
