a1,a2,a3,b1,b2,b3
-0.148540,0.517755,-0.618436,4.698772,-16.473983,19.463774
-0.147695,0.517754,-0.618999,4.670623,-16.471237,19.480245
-0.148673,0.513910,-0.614083,4.703810,-16.345605,19.317196
-0.147533,0.520971,-0.621070,4.665312,-16.582076,19.551108
-0.148496,0.515119,-0.615437,4.697013,-16.386310,19.363923
-0.147625,0.513995,-0.615984,4.667817,-16.345493,19.380226
-0.148628,0.523255,-0.623481,4.701438,-16.652738,19.629186
-0.147310,0.517872,-0.619191,4.657667,-16.478898,19.489323
-0.148901,0.516388,-0.616012,4.711211,-16.427346,19.381135
-0.148362,0.515207,-0.616667,4.692775,-16.383175,19.400118
-0.147673,0.517633,-0.619587,4.669237,-16.466508,19.500544
-0.148821,0.517538,-0.617289,4.709231,-16.466687,19.423620
-0.147969,0.513129,-0.614446,4.680320,-16.316354,19.326772
-0.147724,0.517860,-0.618287,4.671900,-16.481194,19.460786
-0.149181,0.513885,-0.614553,4.720413,-16.339790,19.330701
-0.148704,0.517052,-0.616109,4.704864,-16.448008,19.381986
-0.148629,0.520287,-0.619722,4.702642,-16.561946,19.507834
-0.148196,0.514112,-0.615456,4.687519,-16.349864,19.361909
-0.147832,0.520743,-0.621705,4.675832,-16.572073,19.570269
-0.147943,0.517031,-0.617391,4.679262,-16.450421,19.428396
-0.148327,0.521501,-0.621128,4.691283,-16.600459,19.554493
-0.147716,0.515981,-0.618201,4.671019,-16.413362,19.455553
-0.149096,0.517350,-0.616436,4.718551,-16.459118,19.393777
-0.148494,0.519674,-0.620430,4.697560,-16.535304,19.528024
-0.147408,0.517368,-0.619286,4.660539,-16.459196,19.491689
-0.149007,0.514448,-0.614778,4.715657,-16.359808,19.336849
-0.147757,0.516892,-0.618799,4.672794,-16.445242,19.475777
-0.148536,0.521898,-0.620961,4.699485,-16.612785,19.546610
-0.147319,0.518717,-0.620551,4.657909,-16.504470,19.533107
-0.148590,0.515580,-0.616097,4.700214,-16.400207,19.385084
-0.147161,0.520425,-0.623364,4.652157,-16.559199,19.626545
-0.149814,0.516255,-0.615450,4.742493,-16.420323,19.359779
-0.148461,0.518334,-0.619255,4.695885,-16.493757,19.491834
-0.147194,0.516329,-0.618811,4.653277,-16.423005,19.474608
-0.148458,0.514288,-0.614615,4.696373,-16.359150,19.335821
-0.147778,0.522222,-0.622627,4.673241,-16.622140,19.602783
-0.148577,0.515464,-0.615274,4.700262,-16.396279,19.356257
-0.148483,0.514895,-0.615632,4.696857,-16.376361,19.368484
-0.148097,0.520375,-0.620857,4.683961,-16.560628,19.543875
-0.147415,0.518605,-0.618998,4.661568,-16.503998,19.482392
-0.147962,0.519025,-0.618643,4.679326,-16.517291,19.470491
-0.146784,0.519897,-0.622489,4.639295,-16.543626,19.598747
-0.147802,0.517365,-0.619360,4.673665,-16.456341,19.491817
-0.149384,0.513811,-0.614232,4.728512,-16.339076,19.318710
-0.148190,0.512622,-0.613508,4.687843,-16.299892,19.295504
-0.147838,0.519453,-0.619677,4.675669,-16.533814,19.506821
-0.148488,0.514914,-0.615872,4.697454,-16.375759,19.375158
-0.148415,0.515837,-0.615616,4.695109,-16.407328,19.365849
-0.148702,0.520833,-0.620195,4.705130,-16.580219,19.523601
-0.148882,0.512445,-0.613514,4.710863,-16.292426,19.295450
-0.148330,0.518398,-0.618949,4.692521,-16.493377,19.478045
-0.148681,0.515138,-0.615220,4.703836,-16.384719,19.354591
-0.147380,0.522901,-0.623157,4.659394,-16.649235,19.623797
-0.147521,0.516385,-0.618565,4.664386,-16.427058,19.467642
-0.147832,0.514252,-0.616005,4.675311,-16.353639,19.379659
-0.147819,0.520289,-0.621186,4.674582,-16.557804,19.555096
-0.146991,0.520222,-0.622508,4.646314,-16.556785,19.601633
-0.148749,0.514738,-0.615433,4.706739,-16.369471,19.359252
-0.148323,0.517005,-0.617532,4.692653,-16.448579,19.431354
-0.148412,0.520390,-0.620104,4.695138,-16.562004,19.518216
-0.147143,0.517889,-0.620190,4.651805,-16.476515,19.521246
-0.148763,0.518512,-0.618434,4.706431,-16.498273,19.462569
-0.147553,0.517007,-0.618975,4.665802,-16.446110,19.479501
-0.149178,0.516244,-0.616077,4.721005,-16.420872,19.381626
-0.148844,0.520037,-0.620405,4.708362,-16.552429,19.531985
-0.147961,0.514974,-0.616721,4.679739,-16.376855,19.402947
-0.148182,0.513419,-0.614723,4.687133,-16.328476,19.338640
-0.147655,0.521353,-0.622063,4.669017,-16.593215,19.584084
-0.148725,0.515307,-0.615245,4.705646,-16.389760,19.353973
-0.148661,0.514464,-0.615117,4.703066,-16.361447,19.350612
-0.148241,0.522233,-0.622177,4.688533,-16.623716,19.589102
-0.148074,0.517958,-0.618312,4.683962,-16.480101,19.457717
-0.147637,0.519535,-0.620236,4.668319,-16.533699,19.523965
-0.148363,0.515814,-0.615986,4.693385,-16.408010,19.379736
-0.147098,0.518137,-0.620676,4.649827,-16.482830,19.536576
-0.149190,0.514418,-0.614826,4.721746,-16.359801,19.339217
-0.147773,0.516242,-0.617142,4.673615,-16.420995,19.417553
-0.148343,0.517360,-0.617472,4.692519,-16.462461,19.432256
-0.148021,0.514141,-0.616561,4.681134,-16.347974,19.397983
-0.148947,0.516580,-0.615065,4.713125,-16.432067,19.346606
-0.148105,0.518339,-0.619052,4.684642,-16.493418,19.483614
-0.149086,0.511801,-0.612810,4.718209,-16.268412,19.269292
-0.148408,0.517963,-0.618486,4.695167,-16.480321,19.463716
-0.148573,0.515270,-0.615644,4.699971,-16.389606,19.369409
-0.147214,0.522761,-0.623393,4.653747,-16.643164,19.630968
-0.147701,0.516952,-0.618835,4.670540,-16.447180,19.477470
-0.147523,0.514546,-0.616185,4.664461,-16.364095,19.386607
-0.148518,0.519927,-0.620230,4.698516,-16.545194,19.522207
-0.147456,0.518007,-0.619674,4.662059,-16.481792,19.505883
-0.148745,0.515692,-0.616302,4.706661,-16.401714,19.388510
-0.148146,0.519402,-0.619249,4.686439,-16.530248,19.490018
-0.148074,0.519090,-0.619837,4.683498,-16.514796,19.507048
-0.148040,0.515322,-0.617089,4.682587,-16.389929,19.415998
-0.148444,0.520357,-0.620532,4.695564,-16.560506,19.533539
-0.147400,0.517712,-0.619810,4.660560,-16.469610,19.507576
-0.149292,0.516121,-0.615901,4.724831,-16.416553,19.375587
-0.148441,0.517889,-0.618537,4.695286,-16.478419,19.467241
-0.147738,0.510931,-0.613378,4.672089,-16.241171,19.291618
-0.147909,0.512842,-0.613954,4.677781,-16.311095,19.314345
-0.147173,0.521919,-0.622767,4.652639,-16.612532,19.607972
-0.148354,0.517373,-0.617405,4.692807,-16.459405,19.427196
-0.148436,0.513883,-0.614669,4.694986,-16.343657,19.337462
-0.148275,0.517435,-0.618434,4.689741,-16.459065,19.460715
-0.147174,0.518265,-0.619479,4.653343,-16.492996,19.499459
-0.147243,0.518646,-0.619660,4.654912,-16.504766,19.505361
-0.148621,0.514960,-0.614945,4.702018,-16.379094,19.344671
-0.147270,0.518598,-0.620555,4.655936,-16.499169,19.532658
-0.148700,0.514722,-0.615449,4.704805,-16.369411,19.360630
-0.147635,0.516270,-0.617321,4.669012,-16.422170,19.423809
-0.148439,0.516827,-0.617094,4.695668,-16.444203,19.419473
-0.147998,0.513002,-0.616107,4.680563,-16.307637,19.381115
-0.148556,0.517737,-0.617429,4.699985,-16.472349,19.427803
-0.147925,0.518581,-0.619917,4.678419,-16.501205,19.512810
-0.149404,0.513460,-0.614083,4.728803,-16.324073,19.312118
-0.148261,0.516196,-0.617144,4.690113,-16.421682,19.419300
-0.148936,0.515620,-0.615346,4.712499,-16.401183,19.358598
-0.147473,0.519253,-0.620892,4.662787,-16.523315,19.545518
-0.147825,0.516557,-0.618723,4.675296,-16.433664,19.472806
-0.147947,0.513633,-0.614701,4.679024,-16.333303,19.336272
-0.148413,0.520541,-0.620966,4.694607,-16.566002,19.547578
-0.147393,0.517548,-0.619600,4.660003,-16.464094,19.501418
-0.148374,0.516466,-0.617437,4.693975,-16.426507,19.425871
-0.148385,0.518297,-0.618878,4.694215,-16.489812,19.475686
-0.148230,0.520049,-0.620476,4.688968,-16.547196,19.528325
-0.147606,0.518246,-0.619744,4.668138,-16.490920,19.506996
-0.148418,0.520290,-0.620497,4.694667,-16.558324,19.532379
-0.147433,0.515771,-0.618100,4.661751,-16.401453,19.447702
-0.149297,0.516130,-0.616121,4.725082,-16.416690,19.382724
-0.148409,0.516964,-0.617532,4.694590,-16.447082,19.432773
-0.148253,0.512534,-0.614289,4.689586,-16.294729,19.321319
-0.147893,0.514638,-0.615948,4.677349,-16.370177,19.380339
-0.147741,0.516508,-0.617728,4.672067,-16.430513,19.438513
-0.147465,0.517453,-0.618611,4.662691,-16.462161,19.468221
-0.148678,0.515890,-0.616377,4.703215,-16.409307,19.393127
-0.148276,0.516691,-0.617773,4.689698,-16.433425,19.438040
-0.147031,0.519236,-0.620155,4.648513,-16.528871,19.524664
-0.147129,0.516743,-0.618585,4.651051,-16.439593,19.468554
-0.148477,0.514068,-0.615070,4.697010,-16.347124,19.347841
-0.146823,0.517889,-0.621340,4.640584,-16.472820,19.557938
-0.148872,0.512263,-0.613432,4.710586,-16.286939,19.293421
-0.147814,0.515751,-0.616537,4.675222,-16.406526,19.398692
-0.147980,0.516433,-0.616723,4.680220,-16.432042,19.407920
-0.148214,0.515604,-0.617066,4.688157,-16.397404,19.414127
-0.148412,0.518385,-0.618059,4.695207,-16.493989,19.448693
-0.147964,0.517964,-0.619315,4.679929,-16.479582,19.491656
-0.149030,0.513985,-0.614796,4.716121,-16.342956,19.337174
-0.148155,0.516749,-0.618254,4.686069,-16.437815,19.455767
-0.148989,0.516738,-0.616249,4.714378,-16.438759,19.388646
-0.147854,0.518036,-0.619274,4.675858,-16.481608,19.490325
-0.147797,0.514891,-0.616572,4.674203,-16.376241,19.399432
-0.148087,0.511977,-0.613041,4.683547,-16.277252,19.280400
-0.148447,0.520765,-0.621161,4.695534,-16.574103,19.555062
-0.147841,0.519042,-0.620662,4.675325,-16.513449,19.535979
-0.148581,0.513570,-0.614246,4.701052,-16.330946,19.319810
-0.148947,0.518909,-0.618765,4.713442,-16.510524,19.471459
-0.148010,0.519017,-0.619923,4.681560,-16.513813,19.510661
-0.147632,0.516403,-0.617756,4.668960,-16.428291,19.439636
-0.148539,0.520376,-0.622103,4.698379,-16.553915,19.581636
-0.147860,0.514292,-0.615837,4.676533,-16.351612,19.370716
-0.149466,0.515479,-0.615284,4.730752,-16.394888,19.354671
-0.147987,0.516045,-0.617096,4.680350,-16.416547,19.418413
-0.148080,0.513380,-0.615096,4.683874,-16.323536,19.348748
-0.147850,0.519609,-0.619482,4.675895,-16.539951,19.500918
-0.147811,0.516192,-0.617482,4.674051,-16.419652,19.430558
-0.147424,0.519190,-0.620421,4.661224,-16.520111,19.528979
-0.148149,0.515189,-0.615806,4.685856,-16.387197,19.374375
-0.148390,0.513809,-0.614893,4.694259,-16.335271,19.339197
-0.146812,0.521725,-0.622436,4.641088,-16.614738,19.603099
-0.147197,0.515176,-0.616920,4.653771,-16.388441,19.413188
-0.149121,0.513533,-0.614400,4.719266,-16.328002,19.323677
-0.147967,0.519217,-0.619830,4.678952,-16.521434,19.509860
-0.148304,0.509633,-0.612241,4.691332,-16.196721,19.252521
-0.148112,0.514425,-0.615149,4.685131,-16.362220,19.352413
-0.148108,0.517486,-0.617877,4.684441,-16.465521,19.445343
-0.148262,0.516673,-0.618354,4.689564,-16.431555,19.456388
-0.148887,0.519306,-0.618108,4.711450,-16.525219,19.450136
-0.147627,0.520047,-0.621565,4.668622,-16.550668,19.568103
-0.149230,0.518292,-0.618605,4.722500,-16.489221,19.467146
-0.148453,0.520330,-0.620888,4.695897,-16.558889,19.545043
-0.148929,0.518033,-0.617358,4.712315,-16.483861,19.427277
-0.147941,0.516033,-0.617716,4.679131,-16.411660,19.435540
-0.148341,0.514994,-0.615984,4.692559,-16.382133,19.381495
-0.148333,0.513294,-0.614117,4.692111,-16.321283,19.316211
-0.148402,0.518868,-0.619251,4.694342,-16.511217,19.490957
-0.148124,0.516375,-0.617629,4.684851,-16.423382,19.433589
-0.148821,0.512894,-0.613547,4.709186,-16.307417,19.295642
-0.149040,0.520699,-0.620624,4.716237,-16.570635,19.534700
-0.147757,0.518039,-0.618892,4.673088,-16.482595,19.477206
-0.147150,0.516656,-0.618963,4.652756,-16.435064,19.478950
-0.148696,0.516033,-0.617618,4.703799,-16.407664,19.430103
-0.147911,0.515114,-0.616412,4.678408,-16.381710,19.391811
-0.150053,0.515355,-0.614612,4.750808,-16.389877,19.331045
-0.147241,0.516483,-0.618245,4.655048,-16.433035,19.458636
-0.148058,0.511258,-0.613309,4.683455,-16.252685,19.288877
-0.148026,0.519858,-0.619766,4.681462,-16.545654,19.509001
-0.147493,0.515782,-0.617394,4.663057,-16.405786,19.427953
-0.147375,0.518505,-0.620278,4.659605,-16.495899,19.523492
-0.148317,0.514086,-0.615166,4.691626,-16.347025,19.350029
-0.148310,0.516040,-0.616854,4.691290,-16.412081,19.406864
-0.147386,0.518182,-0.619123,4.660276,-16.489337,19.486924
-0.148207,0.515010,-0.615719,4.688163,-16.382213,19.371816
-0.148634,0.515208,-0.615836,4.702753,-16.386492,19.373654
-0.147930,0.519053,-0.619762,4.678117,-16.517242,19.508245
-0.147636,0.515494,-0.617102,4.668577,-16.397176,19.418298
-0.148764,0.516835,-0.616132,4.707139,-16.444551,19.385824
-0.147847,0.516194,-0.616610,4.675752,-16.423342,19.403393
-0.148894,0.517036,-0.618206,4.710937,-16.442352,19.450028
-0.148456,0.519251,-0.618586,4.696844,-16.525154,19.467953
-0.148538,0.515767,-0.617480,4.699167,-16.405043,19.430260
-0.148879,0.519083,-0.619109,4.710592,-16.518069,19.485652
-0.148431,0.518644,-0.619033,4.695193,-16.503037,19.483064
-0.149245,0.519361,-0.619207,4.722755,-16.524641,19.487309
-0.147840,0.516936,-0.618947,4.675440,-16.439740,19.475568
-0.148183,0.516465,-0.617186,4.687339,-16.431638,19.421828
-0.148479,0.518098,-0.618276,4.696753,-16.484573,19.457922
-0.147627,0.518802,-0.619985,4.668248,-16.510914,19.517182
-0.147499,0.517231,-0.618735,4.663979,-16.456115,19.473618
-0.148393,0.514970,-0.615626,4.694697,-16.378360,19.366423
-0.149055,0.519941,-0.619210,4.717129,-16.547686,19.488097
-0.148237,0.518423,-0.618326,4.689392,-16.495991,19.458009
-0.147374,0.515457,-0.617436,4.660123,-16.394329,19.427551
-0.148537,0.518851,-0.619167,4.698796,-16.512464,19.489731
-0.148061,0.515531,-0.616583,4.683389,-16.396762,19.398444
-0.149412,0.516737,-0.616499,4.728965,-16.437837,19.396186
-0.147812,0.517644,-0.618611,4.674252,-16.471436,19.470512
-0.148270,0.512029,-0.612923,4.690280,-16.286446,19.281768
-0.147325,0.518989,-0.620752,4.658146,-16.512615,19.539274
-0.147764,0.516450,-0.617790,4.672040,-16.427585,19.441130
-0.148151,0.515972,-0.617143,4.686165,-16.411004,19.417448
-0.148125,0.514546,-0.615811,4.685224,-16.364218,19.373425
